title;link;abstract;type
A Machine Learning Approach to Improving Dynamic Decision Making;https://doi.org/10.1287/isre.2014.0513;Decision strategies in dynamic environments do not always succeed in producing desired outcomes, particularly in complex, ill-structured domains. Information systems often capture large amounts of data about such environments. We propose a domain-independent, iterative approach that (a) applies data mining classification techniques to the collected data in order to discover the conditions under which dynamic decision-making strategies produce undesired or suboptimal outcomes and (b) uses this information to improve the decision strategy under these conditions. In this paper, we formally develop this approach and illustrate it by providing detailed examples of its application to a chronic disease care problem in a healthcare management organization, specifically the treatment of patients with type 2 diabetes mellitus. In particular, the proposed iterative approach is used to improve treatment strategies by predicting and eliminating treatment failures, i.e., insufficient or excessive treatment actions, based on information that is available in electronic medical record systems. We also apply the proposed approach to a manufacturing task, resulting in substantial decision strategy improvements, which further demonstrates the generality and flexibility of the proposed approach.;machine learning
Examining the Impact of Keyword Ambiguity on Search Advertising Performance: A Topic Model Approach;https://misq.umn.edu/examining-the-impact-of-keyword-ambiguity-on-search-advertising-performance-a-topic-model-approach.html?SID=a8c3ub0214v89bip4a0qktvs05;In this paper, we explore how keyword ambiguity can affect search advertising performance. Consumers arrive at search engines with diverse interests, which are often unobserved and nontrivial to predict. The search interests of different consumers may vary even when they are searching using the same keyword. In our study, we propose an automatic way of examining keyword ambiguity based on probabilistic topic models from machine learning and computational linguistics. We examine the effect of keyword ambiguity on keyword performance using a hierarchical Bayesian approach that allows for topic-specific effects and nonlinear position effects, and jointly models click-through rate (CTR) and ad position (rank). We validate our study using a novel data set from a major search engine that contains information on consumer click activities for 2,625 distinct keywords across multiple product categories from 10,000 impressions. We find that consumer click behavior varies significantly across keywords, and such variation can be partially explained by keyword ambiguity. Specifically, higher keyword ambiguity is associated with higher CTR on top-positioned ads, but also a faster decay in CTR with screen position. Therefore, the overall effect of keyword ambiguity on CTR varies across positions. Our study provides implications for advertisers to improve the prediction of keyword performance by taking into account keyword ambiguity and other semantic characteristics of keywords. It can also help search engines design keyword planning tools to aid advertisers when choosing potential keywords.;machine learning
Expecting the Unexpected: Effects of Data Collection Design Choices on the Quality of Crowdsourced User-Generated Content;https://misq.umn.edu/expecting-the-unexpected-effects-of-data-collection-design-choices-on-the-quality-of-crowdsourced-user-generated-content.html;As crowdsourced user-generated content becomes an important source of data for organizations, a pressing question is how to ensure that data contributed by ordinary people outside of traditional organizational boundaries is of suitable quality to be useful for both known and unanticipated purposes. This research examines the impact of different information quality management strategies, and corresponding data collection design choices, on key dimensions of information quality in crowdsourced user-generated content. We conceptualize a contributor-centric information quality management approach focusing on instance-based data collection. We contrast it with the traditional consumer-centric fitness-for-use conceptualization of information quality that emphasizes class-based data collection. We present laboratory and field experiments conducted in a citizen science domain that demonstrate trade-offs between the quality dimensions of accuracy, completeness (including discoveries), and precision between the two information management approaches and their corresponding data collection designs. Specifically, we show that instance-based data collection results in higher accuracy, dataset completeness, and number of discoveries, but this comes at the expense of lower precision. We further validate the practical value of the instance-based approach by conducting an applicability check with potential data consumers (scientists, in our context of citizen science). In a follow-up study, we show, using human experts and supervised machine learning techniques, that substantial precision gains on instance-based data can be achieved with post-processing. We conclude by discussing the benefits and limitations of different information quality and data collection design choices for information quality in crowdsourced user-generated content.;machine learning
Understanding the Elephant: The Discourse Approach to Boundary Identification and Corpus Construction for Theory Review Articles;https://aisel.aisnet.org/jais/vol20/iss7/15;"The goal of a review article is to present the current state of knowledge in a research area. Two important initial steps in writing a review article are boundary identification (identifying a body of potentially relevant past research) and corpus construction (selecting research manuscripts to include in the review). We present a theory-as-discourse approach, which (1) creates a theory ecosystem of potentially relevant prior research using a citation-network approach to boundary identification; and (2) identifies manuscripts for consideration using machine learning or random selection. We demonstrate an instantiation of the theory as discourse approach through a proof-of-concept, which we call the automated detection of implicit theory (ADIT) technique. ADIT improves performance over the conventional approach as practiced in past technology acceptance model reviews (i.e., keyword search, sometimes manual citation chaining); it identifies a set of research manuscripts that is more comprehensive and at least as precise. Our analysis shows that the conventional approach failed to identify a majority of past research. Like the three blind men examining the elephant, the conventional approach distorts the totality of the phenomenon. ADIT also enables researchers to statistically estimate the number of relevant manuscripts that were excluded from the resulting review article, thus enabling an assessment of the review article’s representativeness.";machine learning
An Agent-Based Collaborative Approach to Graphing Causal Maps for Situation Formulation;https://aisel.aisnet.org/jais/vol10/iss3/3/;We provide a background discussion of group support systems (GSS) research into aiding strategic management processes. GSS support for strategic management has been primarily focused on qualitative analysis and the communication processes surrounding strategic planning. While fully developed in common decision-support systems, powerful simulation modeling and quantitative analytical tools have been difficult to integrate into GSS system configurations because they require increased cognitive load and expert modeling support, a central problem now addressed by collaboration engineering. A conceptual and functional bridge is needed to integrate the qualitative and quantitative approaches, reduce cognitive load, and provide modeling support that does not require experts. Acar’s analytical causal mapping is introduced as a structured method for situational formulation and analysis of unstructured strategic problems. This form of causal mapping includes specific processes and analytical approaches offering cognitive modeling support for problem formulation. Its computational capabilities provide support for Systems Thinking approaches in a system easy to learn and use. Using the methodological template of the design science paradigm, we contribute a prototype system for the development and simulation of causal maps that uses RePast 2.0, a Java agent-based modeling (ABM) and simulation library.;machine learning
Regulating Cryptocurrencies: A Supervised Machine Learning Approach to De-Anonymizing the Bitcoin Blockchain;https://doi.org/10.1080/07421222.2018.1550550;Bitcoin is a cryptocurrency whose transactions are recorded on a distributed, openly accessible ledger. On the Bitcoin Blockchain, an owning entity’s real-world identity is hidden behind a pseudonym, a so-called address. Therefore, Bitcoin is widely assumed to provide a high degree of anonymity, which is a driver for its frequent use for illicit activities. This paper presents a novel approach for de-anonymizing the Bitcoin Blockchain by using Supervised Machine Learning to predict the type of yet-unidentified entities. We utilized a sample of 957 entities (with ?385 million transactions), whose identity and type had been revealed, as training set data and built classifiers differentiating among 12 categories. Our main finding is that we can indeed predict the type of a yet-unidentified entity. Using the Gradient Boosting algorithm with default parameters, we achieve a mean cross-validation accuracy of 80.42% and F1-score of ?79.64%. We show two examples, one where we predict on a set of 22 clusters that are suspected to be related to cybercriminal activities, and another where we classify 153,293 clusters to provide an estimation of the activity on the Bitcoin ecosystem. We discuss the potential applications of our method for organizational regulation and compliance, societal implications, outline study limitations, and propose future research directions. A prototype implementation of our method for organizational use is included in the appendix.;machine learning
Organizational Learning in the Rise of Machine Learning;https://core.ac.uk/download/pdf/301385554.pdf;Organizational learning (OL) is associated with experience and knowledge in an organization. Information Technology (IT) enables the creation, dissemination, and use of knowledge, and as such, plays an important role in an organization’s learning process. This role has inspired a large body of literature studying the link between OL and IT and the relation between IT and knowledge exploration and exploitation. The recent rise of Machine Learning (ML) with its Deep Learning (DL) capabilities has nevertheless brought about new ways of creating, retaining, and transferring knowledge. I argue that the learning occurring within the machine plays a role in the learning occurring within the organization, calling for revisiting OL in light of this disruptive IT. In this paper, I focus on three different ways in which the machine achieves its learning, namely supervised, unsupervised, and reinforcement learning, and advance propositions on how each impacts OL differently.;machine learning
Challenges in the Deployment and Operation of Machine Learning in Practice;https://publikationen.bibliothek.kit.edu/1000095028;Machine learning has recently emerged as a powerful technique to increase operational efficiency or to develop new value propositions. However, the translation of a prediction algorithm into an operationally usable machine learning model is a time-consuming and in various ways challenging task. In this work, we target to systematically elicit the challenges in deployment and operation to enable broader practical dissemination of machine learning applications. To this end, we first identify relevant challenges with a structured literature analysis. Subsequently, we conduct an interview study with machine learning practitioners across various industries, perform a qualitative content analysis, and identify challenges organized along three distinct categories as well as six overarching clusters. Eventually, results from both literature and interviews are evaluated with a comparative analysis. Key issues identified include auto- mated strategies for data drift detection and handling, standardization of machine learning infrastructure, and appropriate communication and expectation management.;machine learning
ONEBANKASSURE: CUSTOMER INTIMACY THROUGH MACHINE LEARNING;https://cisr.mit.edu/publication/MIT_CISRwp427_OneBankAssure_BeathTarafdarRoss;OneBankAssure [a pseudonym] sought to delight its customers by delivering new digital value propositions that exploited new data science and machine learning disciplines. The company created a new organizational unit focusing on these disciplines and funded many new use cases that leveraged them. This case describes the practices of this new unit and recounts the story of the development of one of the company’s successful machine learning use cases. To create fertile ground for the use of machine learning capabilities, the company was also making significant investments in training and culture change, so as to become a more data-driven and evidence-based organization.;machine learning
High-performance detection of epilepsy in seizure-free EEG recordings: A novel machine learning approach using very specific epileptic EEG sub-bands;https://aisel.aisnet.org/icis2019/is_health/is_health/16/;We applied machine learning to diagnose epilepsy based on the fine-graded spectral analysis of seizure-free (resting state) EEG recordings. Despite using unspecific agglomerated EEG spectra, our fine-graded spectral analysis specifically identified the two EEG resting state sub-bands differentiating healthy people from epileptics (1.5-2 Hz and 11-12.5 Hz). The rigorous evaluation of completely unseen data of 100 EEG recordings (50 belonging to epileptics and the other 50 to healthy people) shows that the approach works successfully, achieving an outstanding accuracy of 99 percent, which significantly outperforms the current benchmark of 70% to 95% by a panel of up to three experienced neurologists. Our epilepsy diagnosis classifier can be implemented in modern EEG analysis devices, especially in intensive care units where early diagnosis and appropriate treatment are decisive in life and death scenarios and where physicians’ error rates are particularly high. Our approach is accurate, robust, fast, and cost-efficient and substantially contributes to Information Systems research in healthcare. The approach is also of high practical and theoretical relevance.;machine learning
