title;link;abstract;design and development;evaluation;determinants
Optimizing Medical Data Quality Based on Multiagent Web Service Framework;https://doi.org/10.1109/TITB.2012.2195498;"One of the most important issues in e-healthcare information systems is to optimize the medical data quality extracted from distributed and heterogeneous environments, which can extremely improve diagnostic and treatment decision making. This paper proposes a multiagent web service framework based on service-oriented architecture for the optimization of medical data quality in the e-healthcare information system. Based on the design of the multiagent web service framework, an evolutionary algorithm (EA) for the dynamic optimization of the medical data quality is proposed. The framework consists of two main components; first, an EA will be used to dynamically optimize the composition of medical processes into optimal task sequence according to specific quality attributes. Second, a multiagent framework will be proposed to discover, monitor, and report any inconstancy between the optimized task sequence and the actual medical records. To demonstrate the proposed framework, experimental results for a breast cancer case study are provided. Furthermore, to show the unique performance of our algorithm, a comparison with other works in the literature review will be presented.";1;1;0
An assessment of data quality in a multi-site electronic medical record system in Haiti;https://doi.org/10.1016/j.ijmedinf.2015.11.003;"Objectives: Strong data quality (DQ) is a precursor to strong data use. In resource limited settings, routine DQ assessment (DQA) within electronic medical record (EMR) systems can be resource-intensive using manual methods such as audit and chart review; automated queries offer an efficient alternative. This DQA focused on Haiti's national EMR - iSant� - and included longitudinal data for over 100,000 persons living with HIV (PLHIV) enrolled in HIV care and treatment services at 95 health care facilities (HCF).

Methods: This mixed-methods evaluation used a qualitative Delphi process to identify DQ priorities among local stakeholders, followed by a quantitative DQA on these priority areas. The quantitative DQA examined 13 indicators of completeness, accuracy, and timeliness of retrospective data collected from 2005 to 2013. We described levels of DQ for each indicator over time, and examined the consistency of within-HCF performance and associations between DQ and HCF and EMR system characteristics.

Results: Over all iSant data, age was incomplete in <1% of cases, while height, pregnancy status, TB status, and ART eligibility were more incomplete (approximately 20-40%). Suspicious data flags were present for <3% of cases of male sex, ART dispenses, CD4 values, and visit dates, but for 26% of cases of age. Discontinuation forms were available for about half of all patients without visits for 180 or more days, and >60% of encounter forms were entered late. For most indicators, DQ tended to improve over time. DQ was highly variable across HCF, and within HCFs DQ was variable across indicators. In adjusted analyses, HCF and system factors with generally favorable and statistically significant associations with DQ were University hospital category, private sector governance, presence of local iSante server, greater HCF experience with the EMR, greater maturity of the EMR itself, and having more system users but fewer new users. In qualitative feedback, local stakeholders emphasized lack of stable power supply as a key challenge to data quality and use of the iSant EMR.

Conclusions: Variable performance on key DQ indicators across HCF suggests that excellent DQ is achievable in Haiti, but further effort is needed to systematize and routinize DQ approaches within HCFs. A dynamic, interactive ""DQ dashboard"" within iSant� could bring transparency and motivate improvement. While the results of the study are specific to Haiti's iSant data system, the study's methods and thematic lessons learned holdgeneralized relevance for other large-scale EMR systems in resource-limited countries.

Keywords: Data quality assessment; Electronic medical record; Haiti; Health information system.";0;1;1
An importance-performance analysis of hospital information system attributes: A nurses' perspective;https://doi.org/10.1016/j.ijmedinf.2015.10.010;"Purpose
Health workers have numerous concerns about hospital IS (HIS) usage. Addressing these concerns requires understanding the system attributes most important to their satisfaction and productivity. Following a recent HIS implementation, our objective was to identify priorities for managerial intervention based on user evaluations of the performance of the HIS attributes as well as the relative importance of these attributes to user satisfaction and productivity outcomes.

Procedures
We collected data along a set of attributes representing system quality, data quality, information quality, and service quality from 154 nurse users. Their quantitative responses were analysed using the partial least squares approach followed by an importance-performance analysis. Qualitative responses were analysed using thematic analysis to triangulate and supplement the quantitative findings.

Main findings
Two system quality attributes (responsiveness and ease of learning), one information quality attribute (detail), one service quality attribute (sufficient support), and three data quality attributes (records complete, accurate and never missing) were identified as high priorities for intervention.

Conclusions
Our application of importance-performance analysis is unique in HIS evaluation and we have illustrated its utility for identifying those system attributes for which underperformance is not acceptable to users and therefore should be high priorities for intervention.";0;1;1
Barriers to using eHealth data for clinical performance feedback in Malawi: A case study;https://doi.org/10.1016/j.ijmedinf.2015.07.003;"Introduction: Sub-optimal performance of healthcare providers in low-income countries is a critical and persistent global problem. The use of electronic health information technology (eHealth) in these settings is creating large-scale opportunities to automate performance measurement and provision of feedback to individual healthcare providers, to support clinical learning and behavior change. An electronic medical record system (EMR) deployed in 66 antiretroviral therapy clinics in Malawi collects data that supervisors use to provide quarterly, clinic-level performance feedback. Understanding barriers to provision of eHealth-based performance feedback for individual healthcare providers in this setting could present a relatively low-cost opportunity to significantly improve the quality of care.

Objective: The aims of this study were to identify and describe barriers to using EMR data for individualized audit and feedback for healthcare providers in Malawi and to consider how to design technology to overcome these barriers.

Methods: We conducted a qualitative study using interviews, observations, and informant feedback in eight public hospitals in Malawi where an EMR system is used. We interviewed 32 healthcare providers and conducted seven hours of observation of system use.

Results: We identified four key barriers to the use of EMR data for clinical performance feedback: provider rotations, disruptions to care processes, user acceptance of eHealth, and performance indicator lifespan. Each of these factors varied across sites and affected the quality of EMR data that could be used for the purpose of generating performance feedback for individual healthcare providers.

Conclusion: Using routinely collected eHealth data to generate individualized performance feedback shows potential at large-scale for improving clinical performance in low-resource settings. However, technology used for this purpose must accommodate ongoing changes in barriers to eHealth data use. Understanding the clinical setting as a complex adaptive system (CAS) may enable designers of technology to effectively model change processes to mitigate these barriers.

Keywords: Audit and feedback; Clinical guideline implementation; Data quality; Electronic medical records; Low-resource settings; eHealth.";0;0;1
Concept and implementation of a computer-based reminder system to increase completeness in clinical documentation;https://doi.org/10.1016/j.ijmedinf.2011.02.004;"Purpose: Medical documentation is often incomplete. Missing information may impede or bias analysis of study data and can cause delays. In a single source information system, clinical routine documentation and electronic data capture (EDC) systems are connected in the hospital information system (HIS). In this setting, both clinical routine and research would benefit from a higher rate of complete documentation.

Methods: We designed a HIS-based reminder system which identifies not yet finalized forms and sends reminder e-mails to responsible physicians depending on escalation level. The generic concept to create reminder e-mail messages consists in database queries on not-finalized forms and generation of e-mail messages based on this output via the communication server. We compared completeness of electronic HIS forms before and after introduction of the reminder system three months each.

Results: Completeness increased highly significantly (p<0.0001) for each form type (medical history form 93% (145 of 156 forms) vs 100% (206 forms), stress injection protocol 90% (142 of 157 forms) vs 100% (198 forms) and rest injection protocol 31% (45 of 147 forms) vs 100% (208 forms)). Forty-six reminder e-mails to the responsible study physician and 53 reminder e-mails to the principal investigator were sent to finish 2 medical history forms, 8 stress and 20 rest injection protocols. These 2 medical history forms were completed after 1 and 56 days. The median processing time of the stress injection protocols in the post-implementation phase was 18 days (range from 1 to 60 days). The median processing time of the rest injection protocols was 26 days (range from 5 to 37 days).

Conclusion: A computer-based reminder system to identify incomplete documentation forms with a notification and escalation mechanism can improve completeness of finalized forms significantly. It is technically feasible and effective in the clinical setting.";1;1;0
Does single-source create an added value? Evaluating the impact of introducing x4T into the clinical routine on workflow modifications, data quality and cost-benefit;https://doi.org/10.1016/j.ijmedinf.2014.08.007;"Objectives: The first objective of this study is to evaluate the impact of integrating a single-source system into the routine patient care documentation workflow with respect to process modifications, data quality and execution times in patient care as well as research documentation. The second one is to evaluate whether it is cost-efficient using a single-source system in terms of achieved savings in documentation expenditures.

Methods: We analyzed the documentation workflow of routine patient care and research documentation in the medical field of pruritus to identify redundant and error-prone process steps. Based on this, we established a novel documentation workflow including the x4T (exchange for Trials) system to connect hospital information systems with electronic data capture systems for the exchange of study data. To evaluate the workflow modifications, we performed a before/after analysis as well as a time-motion study. Data quality was assessed by measuring completeness, correctness and concordance of previously and newly collected data. A cost-benefit analysis was conducted to estimate the savings using x4T per collected data element and the additional costs for introducing x4T.

Results: The documentation workflow of patient care as well as clinical research was modified due to the introduction of the x4T system. After x4T implementation and workflow modifications, half of the redundant and error-prone process steps were eliminated. The generic x4T system allows direct transfer of routinely collected health care data into the x4T research database and avoids manual transcription steps. Since x4T has been introduced in March 2012, the number of included patients has increased by about 1000 per year. The average entire documentation time per patient visit has been significantly decreased by 70.1% (from 1116�185 to 334�83 s). After the introduction of the x4T system and associated workflow changes, the completeness of mandatory data elements raised from 82.2% to 100%. In case of the pruritus research study, the additional costs for introducing the x4T system are 434.01 and the savings are 0.48ct per collected data element. So, with the assumption of a 5-year runtime and 82 collected data elements per patient, the amount of documented patients has to be higher than 1102 to create a benefit.

Conclusion: Introduction of the x4T system into the clinical and research documentation workflow can optimize the data collection workflow in both areas. Redundant and cumbersome process steps can be eliminated in the research documentation, with the result of reduced documentation times as well as increased data quality. The usage of the x4T system is especially worthwhile in a study with a large amount of collected data or a high number of included patients.

Keywords: Cost-benefit analysis; Data quality; Electronic health records; Evaluation; Process optimization; Secondary use.";0;1;0
mplementation of a cloud-based electronic medical record for maternal and child health in rural Kenya;https://doi.org/10.1016/j.ijmedinf.2015.01.005;"Background: Complete and timely health information is essential to inform public health decision-making for maternal and child health, but is often lacking in resource-constrained settings. Electronic medical record (EMR) systems are increasingly being adopted to support the delivery of health care, and are particularly amenable to maternal and child health services. An EMR system could enable the mother and child to be tracked and monitored throughout maternity shared care, improve quality and completeness of data collected and enhance sharing of health information between outpatient clinic and the hospital, and between clinical and public health services to inform decision-making.

Methods: This study implemented a novel cloud-based electronic medical record system in a maternal and child health outpatient setting in Western Kenya between April and June 2013 and evaluated its impact on improving completeness of data collected by clinical and public health services. The impact of the system was assessed using a two-sample test of proportions pre- and post-implementation of EMR-based data verification.

Results: Significant improvements in completeness of the antenatal record were recorded through implementation of EMR-based data verification. A difference of 42.9% in missing data (including screening for hypertension, tuberculosis, malaria, HIV status or ART status of HIV positive women) was recorded pre- and post-implementation. Despite significant impact of EMR-based data verification on data completeness, overall screening rates in antenatal care were low.

Conclusion: This study has shown that EMR-based data verification can improve the completeness of data collected in the patient record for maternal and child health. A number of issues, including data management and patient confidentiality, must be considered but significant improvements in data quality are recorded through implementation of this EMR model.

Keywords: Data verification; Electronic medical record; Maternal and child health; Medical informatics; Resource-constrained settings.";0;1;0
Optimizing the user interface of a data entry module for an electronic patient record for cardiac rehabilitation: A mixed method usability approach;https://doi.org/10.1016/j.ijmedinf.2015.12.007;"Introduction: Cumbersome electronic patient record (EPR) interfaces may complicate data-entry in clinical practice. Completeness of data entered in the EPR determines, among other things, the value of computerized clinical decision support (CCDS). Quantitative usability evaluations can provide insight into mismatches between the system design model of data entry and users' data entry behavior, but not into the underlying causes for these mismatches. Mixed method usability evaluation studies may provide these insights, and thus support generating redesign recommendations for improving an EPR system's data entry interface.

Aim: To improve the usability of the data entry interface of an EPR system with CCDS in the field of cardiac rehabilitation (CR), and additionally, to assess the value of a mixed method usability approach in this context.

Methods: Seven CR professionals performed a think-aloud usability evaluation both before (beta-version) and after the redesign of the system. Observed usability problems from both evaluations were analyzed and categorized using Zhang et al.'s heuristic principles of good interface design. We combined the think-aloud usability evaluation of the system's beta-version with the measurement of a new usability construct: users' deviations in action sequence from the system's predefined data entry order sequence. Recommendations for redesign were implemented. We assessed whether the redesign improved CR professionals' (1) task efficacy (with respect to the completeness of data they collected), and (2) task efficiency (with respect to the average number of mouse clicks they needed to complete data entry subtasks).

Results: With the system's beta version, 40% of health care professionals' navigation actions through the system deviated from the predefined next system action. The causes for these deviations as revealed by the think-aloud method mostly concerned mismatches between the system design model for data entry action sequences and users expectations of these action sequences, based on their paper-based daily routines. This caused non completion of data entry tasks (31% of main tasks completed), and more navigation actions than minimally required (146% of the minimum required). In the redesigned system the data entry navigational structure was organized in a flexible way around an overview screen to better mimic users' paper-based daily routines of collecting patient data. This redesign resulted in an increased number of completed main tasks (70%) and a decrease in navigation actions (133% of the minimum required). The think-aloud usability evaluation of the redesigned system showed that remaining problems concerned flexibility (e.g., lack of customization options) and consistency (mainly with layout and position of items on the screen).

Conclusion: The mixed method usability evaluation was supportive in revealing the magnitude and causes of mismatches between the system design model of data-entry with users' data entry behavior. However, as both task efficacy and efficiency were still not optimal with the redesigned EPR, we advise to perform a cognitive analysis on end users' mental processes and behavior patterns in daily work processes specifically during the requirements analysis phase of development of interactive healthcare information systems.

Keywords: CCDS; Cardiac rehabilitation; Electronic health records; Usability evaluation.";0;1;1
Reporting systems, reporting rates and completeness of data reported from primary healthcare to a Swedish quality register--the National Diabetes Register;https://doi.org/10.1016/j.ijmedinf.2011.06.006;Objective: The aims of this paper were to study the reporting rate and completeness of data reported from primary healthcare centres (PHCCs) in Sweden to the Swedish National Diabetes Register (NDR), with a special attention on the relation between these measures and the reporting system used by the PHCCs. Method: A national survey conducted in Swedish primary healthcare covering the year 2006. A questionnaire was used to collect data from 523 PHCCs. Data on 87,099 adult diabetic patients attending these PHCCs and reported to the NDR were obtained from the register. In Sweden, participation in the NDR is voluntary. The data were reported through the Internet, either online using a web-based system or by direct transmission. The main outcome measures were reporting rate and completeness of reported data. Results: Of the 523 PHCCs, almost two-thirds had reported <75% of their diabetic patients to the NDR. The lowest reporting rate was found among the largest PHCCs, while the highest was found among small PHCCs (p<0.001). Reasons given for not reporting data to the NDR were lack of time and lack of personnel resources. Altogether, 73.1% of the PHCCs reported data to the NDR online using a web-based system, 20.5% used direct transmission and 6.3% used both systems. The PHCCs that reported data through direct transmission systems reported almost 70% of their diabetic patients to the NDR, while PHCCs using web-based systems reported 54% of their diabetic patients to the NDR. Adjusted for other factors, using direct transmission increased the reporting rate by 13.0 percentage points. However, the web-based system contributed to a higher completeness of data than the direct transmission system. Conclusions: A direct transmission system facilitates a high reporting rate to the register at the expense of lower completeness of the reported data.;0;1;0
Structured data quality reports to improve EHR data quality;https://doi.org/10.1016/j.ijmedinf.2015.09.008;"Objective: To examine whether a structured data quality report (SDQR) and feedback sessions with practice principals and managers improve the quality of routinely collected data in EHRs.

Methods: The intervention was conducted in four general practices participating in the Fairfield neighborhood electronic Practice Based Research Network (ePBRN). Data were extracted from their clinical information systems and summarised as a SDQR to guide feedback to practice principals and managers at 0, 4, 8 and 12 months. Data quality (DQ) metrics included completeness, correctness, consistency and duplication of patient records. Information on data recording practices, data quality improvement, and utility of SDQRs was collected at the feedback sessions at the practices. The main outcome measure was change in the recording of clinical information and level of meeting Royal Australian College of General Practice (RACGP) targets.

Results: Birth date was 100% and gender 99% complete at baseline and maintained. DQ of all variables measured improved significantly (p<0.01) over 12 months, but was not sufficient to comply with RACGP standards. Improvement was greatest with allergies. There was no significant change in duplicate records.

Conclusions: SDQRs and feedback sessions support general practitioners and practice managers to focus on improving the recording of patient information. However, improved practice DQ, was not sufficient to meet RACGP targets. Randomised controlled studies are required to evaluate strategies to improve data quality and any associated improved safety and quality of care.

Keywords: Data quality; Electronic health records; Feedback; Quality improvement; Quality of care; Structured reports.";0;1;1
