title;abstract;category
Quality evaluation of product reviews using an information quality framework;The ubiquity of Web2.0 makes the Web an invaluable source of business information. For instance, product reviews composed collaboratively by many independent Internet reviewers can help consumers make purchase decisions and enable enterprises to improve their business strategies. As the number of reviews is increasing exponentially, opinion mining and retrieval techniques are needed to identify important reviews and opinions to answer users' queries. Most opinion mining and retrieval approaches try to extract sentimental or bipolar expressions from a large volume of reviews. However, the process often ignores the quality of each review and may retrieve useless or even noisy documents. In this paper, we propose a method for evaluating the quality of information in product reviews. We treat the evaluation of review quality as a classification problem and employ an effective information quality framework to extract representative review features. Experiments based on an expert-composed data corpus demonstrate that the proposed method outperforms state-of-the-art approaches significantly.;review or feedback
A data mining based system for credit-card fraud detection in e-tail;Credit-card fraud leads to billions of dollars in losses for online merchants. With the development of machine learning algorithms, researchers have been finding increasingly sophisticated ways to detect fraud, but practical implementations are rarely reported. We describe the development and deployment of a fraud detection system in a large e-tail merchant. The paper explores the combination of manual and automatic classification, gives insights into the complete development process and compares different machine learning methods. The paper can thus help researchers and practitioners to design and implement data mining based systems for fraud detection or similar problems. This project has contributed not only with an automatic system, but also with insights to the fraud analysts for improving their manual revision process, which resulted in an overall superior performance.;fraud detection
Optimal pricing in e-commerce based on sparse and noisy data;In today's transparent markets, e-commerce providers often have to adjust their prices within short time intervals, e.g., to take frequently changing prices of competitors into account. Automating this task of determining an “optimal” price (e.g., in terms of profit or revenue) with a learning-based approach can however be challenging. Often, only few data points are available, making it difficult to reliably detect the relationships between a given price and the resulting revenue or profit. In this paper, we propose a novel machine-learning based framework for estimating optimal prices under such constraints. The framework is generic in terms of the optimality criterion and can be customized in different ways. At its core, it implements a novel algorithm based on Bayesian inference combined with bootstrap-based confidence estimation and kernel regression. Simulation experiments show that our method is favorable over existing dynamic pricing strategies. Furthermore, the method led to a significant increase in profit and revenue in a real-world evaluation.;pricing decisions
Ranking online consumer reviews;Product reviews are posted online by the hundreds and thousands for popular products. Handling such a large volume of continuously generated online content is a challenging task for buyers, sellers and researchers. The purpose of this study is to rank the overwhelming number of reviews using their predicted helpfulness scores. The helpfulness score is predicted using features extracted from review text, product description, and customer question-answer data of a product using the random-forest classifier and gradient boosting regressor. The system classifies reviews into low or high quality with the random-forest classifier. The helpfulness scores of the high-quality reviews are only predicted using the gradient boosting regressor. The helpfulness scores of the low-quality reviews are not calculated because they are never going to be in the top k reviews. They are just added at the end of the review list to the review-listing website. The proposed system provides fair review placement on review listing pages and makes all high-quality reviews visible to customers on the top. The experimental results on data from two popular Indian e-commerce websites validate our claim, as 3–4 newer high-quality reviews are placed in the top ten reviews along with 5–6 older reviews based on review helpfulness. Our findings indicate that inclusion of features from product description data and customer question-answer data improves the prediction accuracy of the helpfulness score.;review or feedback
BEHAVIOR-BASED CUSTOMER DEMOGRAPHY PREDICTION IN E-COMMERCE.;The popularity of e-commerce is increasing day-by-day. In order to provide a seamless experience and tailored offer for the customers, the knowledge of their preferences and behavior is required. The demography of customers is one of the important information used for, e.g., segmentation. To provide optimal service, machine learning is often used for various tasks. However, the amount of data generated by customers and also large and changing product catalogs result in poorly performing models. In this paper we aim at introducing behavior-based abstraction, which includes item and event abstractions also. Our method reduces the number of unique items in the e-commerce catalog and in the next step encodes the user behavior. We performed extensive evaluation over the real-world dataset. The results suggest the usefulness of proposed abstraction and also resulted in the improvement of the demography prediction performance both from model complexity and performance point of view. [ABSTRACT FROM AUTHOR];demography prediction
Modelling near-real-time order arrival demand in e-commerce context: a machine learning predictive methodology;Purpose Accurate prediction of order demand across omni-channel supply chains improves the management's decision-making ability at strategic, tactical and operational levels. The paper aims to develop a predictive methodology for forecasting near-real-time e-commerce order arrivals in distribution centres, allowing third-party logistics service providers to manage the hour-to-hour fast-changing arrival rates of e-commerce orders better.Design/methodology/approach The paper proposes a novel machine learning predictive methodology through the integration of the time series data characteristics into the development of an adaptive neuro-fuzzy inference system. A four-stage implementation framework is developed for enabling practitioners to apply the proposed model.Findings A structured model evaluation framework is constructed for cross-validation of model performance. With the aid of an illustrative case study, forecasting evaluation reveals a high level of accuracy of the proposed machine learning approach in forecasting the arrivals of real e-commerce orders in three different retailers at three-hour intervals.Research limitations/implications Results from the case study suggest that real-time prediction of individual retailer's e-order arrival is crucial in order to maximize the value of e-order arrival prediction for daily operational decision-making.Originality/value Earlier researchers examined supply chain demand, forecasting problem in a broader scope, particularly in dealing with the bullwhip effect. Prediction of real-time, hourly based order arrivals has been lacking. The paper fills this research gap by presenting a novel data-driven predictive methodology.;order prediction
Machine learning and operation research based method for promotion optimization of products with no price elasticity history;Many leading e-commerce retailers adopt a consistent pricing strategy to build customer trust and promote just a small portion of their catalog each week. Promotion optimization for consistent pricing retailers is a challenging problem, as they need to decide which products to promote, with no historical price elasticity information for the candidate products. In this paper, we introduce a novel approach for predicting product price elasticity impact for e-commerce retailers who use a consistent pricing strategy. We combine the commonly used operation research-based log–log demand model with the nonlinear gradient boosting machines algorithm to predict the price elasticity impact of products with no historical price elasticity information. A pessimistic prediction interval measure is used to accelerate the learning period and reduce the probability of selecting low impact promotions due to high model prediction uncertainty. We demonstrate the effectiveness of our approach on a real-world dataset collected from an online European department store.;pricing decisions
Predictive analytics of E-commerce search behavior for conversion;This study explores online customer search behavior on a large e-commerce website—Walmart.com. In order to more accurately predict customer purchase conversion based on their search behavior, we adopt a modern machine-learning technique, random forest, as well as logistic regression to develop two computational models. We also integrate information retrieval literature to propose metrics to quantify online consumers’ search behavior. Results show that the random forest model performs better with a very high accuracy rate (76%) in predicting customers who will purchase the item they browsed. Among all the predictors, page and session dwell time, user type, click entropy, and click position are the strongest influential factors for the conversion behavior. The findings suggest that, with the enhanced metrics and modeling approaches, search behavior could offer strong cues about customers’ purchasing decision. Additionally, the findings also suggest operational implications about how to accommodate and induce the desired search behavior with the e-commerce website.;conversion prediction
Understanding Consumer Behavior in Electronic Commerce with Image Sentiment;Customers in electronic commerce translate available information into buying decisions based on needs and behavioural tendencies. For this purpose, shopping sites provide detailed information on products and services ranging from simple figures (e.g., dimensions) to textual descriptions, user-generated reviews and visual images. All of the aforementioned sources of information may have a substantial impact on the decision-making of customers.However, little is known about the ways in which visual information is processed and used in decision-making. As a remedy, this research seeks to shed light on the informativeness of visual content in electronic commerce. This objective represents a highly relevant area of research, since visual information plays a major role in determining price, choice and thus willingness to buy (see [1], [2]). Unfortunately, such an undertaking is challenging as we are not aware of any existing methods for measuring the degree of informativeness of images. The main focus of visual sentiment analysis has been on the classification of the sentiment of images stemming from a fairly heterogeneous set. In contrast, we aim to build a model addressing a somewhat homogeneous set of images. In our case, we use photographs from real estate listings in order to predict the rent price. As an immediate implication, our findings show operators of e-commerce or recommender systems how to optimize the presentation of their products and services. 2 Dataset In our paper, we demonstrate the added value of visual cues in electronic commerce. More precisely, we investigate how images in apartment listings can work as a predictor of the corresponding rent price. For that purpose, we utilize the data as follows: our dataset consists of 2,500 apartment listings for the Boston area, which we collected from Craigslist1 in June 2016. For each listing, we retrieved both the monthly rent and the size of the apartment, as well as the first picture shown on the webpage.;image sentiment
An e-commerce customer service robot based on intention recognition model;There are three defects for providing human-labor customer services in e-commerce operations: high costs of human labors, staff turnover, and lack of service quality assurance. Breakthroughs made in artificial intelligence, natural language processing and related fields make it possible to replace human labors with online artificial intelligent robots to provide the e-commerce customer service, which indicates the online robots are the future of e-commerce customer services. However, most of the current robots are designed to reply with knowledge matching the key words in question sentences from the database, rarely involving in research on customer intentions that are key factors influencing user experience and online sales. In this research, an intention recognizing model was proposed to obtain intentions of e-commerce consumers by computing the strengths of candidate intention nodes in the intention graph, which was used to describe relations between different goods that could be the intentional targets of e-commerce consumers. The proposed robot was constructed based on the intention recognizing model to identify intentions of consumers and use the located knowledge combined with the AIML based sentence composition template to produce the response sentences for consumers. At last, the proposed robot was evaluated using F3 and ROUGE metrics by comparing with a keyword matching robot. And the evaluation results proved the validity of the proposed robot.;customer service
