article_number;title;authors;journal;year;url;abstract;theory_type;type_mod
30036518;Predicting Intention to Adopt Interorganizational Linkages: An Institutional Perspective;H. H. Teo, K. K. Wei and I. Benbasat;MISQ;2003;https://www.jstor.org/stable/30036518;This study used institutional theory as a lens to understand the factors that enable the adoption of interorganizational systems. It posits that mimetic, coercive, and normative pressures existing in an institutionalized environment could influence organizational predisposition toward an information technology-based interorganizational linkage. Survey-based research was carried out to test this theory. Following questionnaire development, validation, and pretest with a pilot study, data were collected from the CEO, the CFO, and the CIO to measure the institutional pressures they faced and their intentions to adopt financial electronic data interchange (FEDI). A firm-level structural model was developed based on the CEO's, the CFO's, and the CIO's data. LISREL and PLS were used for testing the measurement and structural models respectively. Results showed that all three institutional pressuresmimetic pressures, coercive pressures, and normative pressures-had a significant influence on organizational intention to adopt FEDI. Except for perceived extent of adoption among suppliers, all other subconstructs were significant in the model. These results provide strong support for institutional-based variables as predictors of adoption intention for interorganizational linkages. These findings indicate that organizations are embedded in institutional networks and call for greater attention to be directed at understanding institutional pressures when investigating information technology innovations adoption.;EP;Explanation and Prediction
30036519;"Trust and TAM in Online Shopping: An Integrated
Model";David Gefen, Elena Karahanna and Detmar W. Straub;MISQ;2003;https://www.jstor.org/stable/30036519;A separate and distinct interaction with both the actual e-vendor and with its IT Web site interface is at the heart of online shopping. Previous research has established, accordingly, that online purchase intentions are the product of both consumer assessments of the IT itself-specifically its perceived usefulness and ease-of-use (TAM)-and trust in the e-vendor. But these perspectives have been examined independently by IS researchers. Integrating these two perspectives and examining the factors that build online trust in an environment that lacks the typical human interaction that often leads to trust in other circumstances advances our understanding of these constructs and their linkages to behavior. Our research on experienced repeat online shoppers shows that consumer trust is as important to online commerce as the widely accepted TAM use-antecedents, perceived usefulness and perceived ease of use. Together these variable sets explain a considerable proportion of variance in intended behavior. The study also provides evidence that online trust is built through (1) a belief that the vendor has nothing to gain by cheating, (2) a belief that there are safety mechanisms built into the Web site, and (3) by having a typical interface, (4) one that is, moreover, easy to use.;EP;Explanation and Prediction
30036520;Understanding the Service Component of Application Service Provision: An Empirical Analysis of Satisfaction with ASP Services;Anjana Susarla, Anitesh Barua and Andrew B. Whinston;MISQ;2003;https://www.jstor.org/stable/30036520;In spite of the promise and potential of improving the way organizations develop, operate and maintain information technology (IT) applications, application service providers (ASPs) have fared poorly in terms of attracting a large client base. Anecdotal evidence in the business press points to limited satisfaction among users of ASP, which calls for an assessment of determinants of satisfaction with ASP. In this paper, we draw upon the consumer satisfaction paradigm widely employed in marketing literature to analyze post-usage satisfaction with ASP services. We develop a conceptual model of satisfaction with ASP and empirically test the predictions using data from 256 firms using ASP services. Expectations about ASP service have a significant influence on the performance evaluation of ASPs, and experiencebased norms have only limited significance in explaining satisfaction with ASP. We also find empirical support for the influence of performance and disconfirmation on the satisfaction with ASP. Implications for both ASPs and organizations adopting ASP services are discussed.;EP;Explanation and Prediction
30036521;Issues in Linking Information Technology Capability to Firm Performance;Radhika Santhanam and Edward Hartono;MISQ;2003;https://www.jstor.org/stable/30036521;"The resource-based view has been proposed to investigate the impact of information technology (IT) investments on firm performance. Researchers have shown that a firm's ability to effectively leverage its IT investments by developing a strong IT capability can result in improved firm performance. We test the robustness of this approach and examine several related issues. Our results indicate that firms with superior IT capability indeed exhibit superior current and sustained firm performance when compared to average industry performance, even after adjusting for effects of prior firm performance. However, the differences in the results from various analyses suggest that the impact of ""halo effects"" and prior financial performance of firms must be taken into consideration in future tests of IT capability. Further, it is critical to develop theoretically derived multidimensional measures of IT capability in order to continue to apply the RBV approach to assess the impact of IT investments on firm performance.";EP;Explanation and Prediction
30036522;CIO Lateral Influence Behaviors: Gaining Peers' Commitment to Strategic Information Systems;Harvey G. Enns, Sid L. Huff and Christopher A. Higgins;MISQ;2003;https://www.jstor.org/stable/30036522;In order to develop and bring to fruition strategic information systems (SIS) projects, chief information officers (ClOs) must be able to effectively influence their peers. This research examines the relationship between CIO influence behaviors and the successfulness of influence outcomes, utilizing a revised model initially developed by Yukl (1994). Focused interviews were first conducted with ClOs and their peers to gain insights into the phenomenon. A survey instrument was then developed and distributed to a sample of CIO and peer executive pairs to gather data with which to test a research model. A total of 69 pairs of surveys were eventually used for data analysis. The research model was found to be generally meaningful in the CIO-top management context. Furthermore, the influence behaviors rational persuasion and personal appeal exhibited significant relationships with peer commitment, whereas exchange and pressure were significantly related to peer resistance. These results provide useful guidance to ClOs who wish to propose strategic information systems to peers.;EP;Explanation and Prediction
30036529;Reconceptualizing Users as Social Actors in Information Systems Research;Roberta Lamb and Rob Kling;MISQ;2003;https://www.jstor.org/stable/30036529;A concept of the user is fundamental to much of the research and practice of information systems design, development, and evaluation. Usercentered information studies have relied on individualistic cognitive models to carefully examine the criteria that influence the selection of information and communication technologies (ICTs) that people make. In many ways, these studies have improved our understanding of how a good information resource fits the people who use it. However, research approaches based on an individualistic user concept are limited. In this paper, we examine the theoretical constructs that shape this user concept and contrast these with alternative views that help to reconceptualize the user as a social actor. Despite pervasive ICT use, social actors are not primarily users of ICTs. Most people who use ICT applications utilize multiple applications, in various roles, and as part of their efforts to produce goods and services while interacting with a variety of other people, and often in multiple social contexts. Moreover, the socially thin user construct limits our understanding of information selection, manipulation, communication, and exchange within complex social contexts. Using analyses from a recent study of online information service use, we develop an institutionalist concept of a social actor whose everyday interactions are infused with ICT use. We then encourage a shift from the user concept to a concept of the social actor in IS research. We suggest that such a shift will sharpen perceptions of how organizational contexts shape ICT-related practices, and at the same time will help researchers more accurately portray the complex and multiple roles that people fulfill while adopting, adapting, and using information systems.;Explanation;Explanation
30036530;Shaping Agility through Digital Options: Reconceptualizing the Role of Information Technology in Contemporary Firms;V. Sambamurthy, Anandhi Bharadwaj and Varun Grover;MISQ;2003;https://www.jstor.org/stable/30036530;Agility is vital to the innovation and competitive performance of firms in contemporary business environments. Firms are increasingly relying on information technologies, including process, knowledge, and communication technologies, to enhance their agility. The purpose of this paper is to broaden understanding about the strategic role of IT by examining the nomological network of influences through which IT impacts firm performance. By drawing upon recent thinking in the strategy, entrepreneurship, and IT management literatures, this paper uses a multitheoretic lens to argue that information technology investments and capabilities influence firm performance through three significant organizational capabilities (agility, digital options, and entrepreneurial alertness) and strategic processes (capabilitybuilding, entrepreneurial action, and coevolutionary adaptation). We also propose that these dynamic capabilities and strategic processes impact the ability of firms to launch many and varied competitive actions and that, in turn, these competitive actions are a significant antecedent of firm performance. Through our theorizing, we draw attention to a significant and reframed role of IT as a digital options generator in contemporary firms.;EP;Explanation and Prediction
30036531;Virtualness and Knowledge in Teams: Managing the Love Triangle of Organizations, Individuals, and Information Technology;Terri L. Griffith, John E. Sawyer and Margaret A. Neale;MISQ;2003;https://www.jstor.org/stable/30036531;"Information technology can facilitate the dissemination of knowledge across the organization-even to the point of making virtual teams a viable alternative to face-to-face work. However, unless managed, the combination of information technology and virtual work may serve to change the distribution of different types of knowledge across individuals, teams, and the organization. Implications include the possibility that information technology plays the role of a jealous mistress when it comes to the development and ownership of valuable knowledge in organizations; that is, information technology may destabilize the relationship between organizations and their employees when it comes to the transfer of knowledge. The paper advances theory and informs practice by illustrating the dynamics of knowledge development and transfer in more and less virtual teams.";EP;Explanation and Prediction
30036532;The Adoption and Use of GSS in Project Teams: Toward More Participative Processes and Outcomes;Alan R. Dennis and Monica J. Garfield;MISQ;2003;https://www.jstor.org/stable/30036532;This paper reports the results of a field study of six medical project teams that worked together in meetings over a seven-week period to develop plans to improve customer service within a hospital. Half the teams used a group support system (GSS), while the other half used traditional processes that were the habitual norms for this organization. In the teams using traditional project team processes, the leaders defined the teams' project goal, directed discussions, recorded and controlled the teams' notes, assigned tasks to team members, and prepared and presented the teams' report. In the GSS teams, the leaders faced leadership challenges or abdicated, regular members participated to a greater extent, the project goal emerged from team discussion, and the teams' notes were open and widely distributed. In short, processes in the GSS teams were more participatory and democratic. At first, teams found the GSS-based meeting processes very uncomfortable and returned to traditional verbal discussion-based processes. Once they returned to these traditional processes, however, they found them uncomfortable and moved back to include more electronic communication-based processes. Participants' attitudes (satisfaction, perceived effectiveness, and cohesiveness) were initially lower in GSS teams, but gradually increased, until they equaled those of the traditional teams. There were significant differences in overall project outcomes: traditional teams developed conservative projects that met the unstated project agenda perceived by the team leaders. In contrast, GSS teams developed projects more closely aligned to the interests of team members.;EP;Explanation and Prediction
30036537;From the Vendor's Perspective: Exploring the Value Proposition in Information Technology Outsourcing;Natalia Levina and Jeanne W. Ross;MISQ;2003;https://www.jstor.org/stable/30036537;To date, most research on information technology (IT) outsourcing concludes that firms decide to outsource IT services because they believe that outside vendors possess production cost advantages. Yet it is not clear whether vendors can provide production cost advantages, particularly to large firms who may be able to replicate vendors' production cost advantages in-house. Mixed outsourcing success in the past decade calls for a closer examination of the IT outsourcing vendor's value proposition. While the client's sourcing decisions and the client-vendor relationship have been examined in IT outsourcing literature, the vendor's perspective has hardly been explored. In this paper, we conduct a close examination of vendor strategy and practices in one long-term successful applications management outsourcing engagement. Our analysis indicates that the vendor's efficiency was based on the economic benefits derived from the ability to develop a complementary set of core competencies. This ability, in turn, was based on the centralization of decision rights from a variety and multitude of IT projects controlled by the vendor. The vendor was enticed to share the value with the client through formal and informal relationship management structures. We use the economic concept of complementarity in organizational design, along with prior findings from studies of client-vendor relationships, to explain the IT vendors' value proposition. We further explain how vendors can offer benefits that cannot be readily replicated internally by client firms.;Explanation;Explanation
