title;link;abstract;topic
An Optimal Mechanism for Sponsored Search Auctions on the Web and Comparison With Other Mechanisms;http://dx.doi.org/10.1109/TASE.2009.2021975;In this paper, we first describe a framework to model the sponsored search auction on the Web as a mechanism design problem. Using this framework, we describe two well-known mechanisms for sponsored search auction - generalized second price (GSP) and Vickrey-Clarke-Groves (VCG). We then derive a new mechanism for sponsored search auction which we call optimal (OPT) mechanism. The OPT mechanism maximizes the search engine's expected revenue, while achieving Bayesian incentive compatibility and individual rationality of the advertisers. We then undertake a detailed comparative study of the mechanisms GSP, VCG, and OPT. We compute and compare the expected revenue earned by the search engine under the three mechanisms when the advertisers are symmetric and some special conditions are satisfied. We also compare the three mechanisms in terms of incentive compatibility, individual rationality, and computational complexity.;auction mechanism design
Optimal Quality Scores in Sponsored Search Auctions: Full Extraction of Advertisers' Surplus;https://doi.org/10.2202/1935-1704.1649;This paper shows that the quality scores in sponsored search auctions can be optimally chosen to extract all the advertisers' surplus. The reason for the full extraction result is that the quality scores may effectively set all the bidders' valuations equal to the highest valuation, which induces intense bidding competition.;auction mechanism design
Optimal equilibrium bidding strategies for budget constrained bidders in sponsored search auctions;https://doi.org/10.1007/s12351-010-0097-8;"Budget optimization (selecting an optimal set of keywords to bid for, given a limited amount of budget) and bid optimization (determining optimal bids for the selected keywords) in the face of an unpredictable keyword traffic is a challenging problem facing advertisers in sponsored search auctions. Another key requirement in sponsored search auctions is stability of the bid profile, which is usually characterized through the notion of locally envy-free equilibrium. A variety of budget optimization and bid optimization ideas have been proposed in the literature; the bid profiles suggested by them have varying stability properties. In this paper, our objective is to come up with a bidding strategy for advertisers that is optimal for the budget optimization as well as the bid optimization problems and also guarantees convergence to a locally envy-free equilibrium. Our approach works with a linear program for the budget optimization problem whose optimal solution is a greedy strategy, which we call the OPT strategy. The OPT strategy yields a bid profile that maximizes the return on investment for the advertisers and ensures convergence of the bid profiles to a locally envy-free equilibrium in the asynchronous case as well as in a restricted synchronous case. We also suggest an improved strategy called the MAX strategy which produces equal or higher advertiser utilities compared to the OPT strategy while enjoying identical equilibrium convergence properties as OPT.";keyword selection
From Generic to Branded: A Model of Spillover in Paid Search Advertising;https://doi.org/10.1509/jmkr.48.1.8;In Internet paid search advertising, marketers pay for search engines to serve text advertisements in response to keyword searches that are generic (e.g., �hotels�) or branded (e.g., �Hilton Hotels�). Although standalone metrics usually show that generic keywords have higher apparent costs to the advertiser than branded keywords, generic search may create a spillover effect on subsequent branded search. Building on the Nerlove�Arrow advertising framework, the authors propose a dynamic linear model to capture the potential spillover from generic to branded paid search. In the model, generic search advertisements serve to expose users to information about the brand's ability to meet their needs, raising awareness that the brand is relevant to the search. In turn, this can induce additional future search activity for keywords that include the brand name. Using a Bayesian estimation approach, the authors apply the model to data from a paid search campaign for a major lodging chain. The results show that generic search activity positively affects future branded search activity through awareness of relevance. However, branded search does not affect generic search, demonstrating that the spillover is asymmetric. The findings have implications for understanding search behavior on the Internet and the management of paid search advertising.;bidding strategy optimization
Sponsored Search and Market Efficiency;http://dx.doi.org/10.2139/ssrn.1660646;Sponsored search is the mechanism whereby where advertisers pay a fee to Internet search engines to be displayed alongside organic (non-sponsored) web search results. Based on prior literature, we draw an analogy between these markets and financial markets. We use the analogy as well as the key differences to present a theoretical framework consisting of a set of research questions about the pricing of keywords and design choices available to firms in sponsored search markets. These questions define an agenda for future research in sponsored search markets. They also have practical implications for advertisers and online marketplaces such as search engines and social media sites that support advertising.;bidding strategy optimization
Forecasting Click-Through Rates Based on Sponsored Search Advertiser Bids and Intermediate Variable Regression;https://doi.org/10.1145/1852096.1852099;"To participate in sponsored search online advertising, an advertiser bids on a set of keywords relevant to his/her product or service. When one of these keywords matches a user search string, the ad is then considered for display among sponsored search results. Advertisers compete for positions in which their ads appear, as higher slots typically result in more user clicks. All existing position allocating mechanisms charge more per click for a higher slot. Therefore, an advertiser must decide whether to bid high and receive more, but more expensive, clicks.

In this work, we propose a novel methodology for building forecasting landscapes relating an individual advertiser bid to the expected click-through rate and/or the expected daily click volume. Displaying such landscapes is currently offered as a service to advertisers by all major search engine providers. Such landscapes are expected to be instrumental in helping the advertisers devise their bidding strategies.

We propose a triply monotone regression methodology. We start by applying the current state-of-the-art monotone regression solution. We then propose to condition on the ad position and to estimate the bid-position and position-click effects separately. While the latter translates into a standard monotone regression problem, we devise a novel solution to the former based on approximate maximum likelihood. We show that our proposal significantly outperforms the standard monotone regression solution, while the latter similarly improves upon routinely used ad-hoc methods.

Last, we discuss other e-commerce applications of the proposed intermediate variable regression methodology.";bidding strategy optimization
An analysis of the importance of the long tail in search engine marketing;http://dx.doi.org/10.1016/j.elerap.2010.05.001;Search engine marketing is currently the most popular form of online advertising. Many advertising agencies and bloggers claim that the success of search engine marketing is driven by the �long tail�, defined in this research as the many less popular keywords employed by users to search the Internet, and suggest that search engine marketing campaigns need to have hundreds or thousands of keywords to accommodate this phenomenon. We doubt this claim. Our data from three search engine marketing campaigns in two countries, which report the success of a total of 4908 keywords over 36 weeks, covering 10,104,015 searches and 492,735 clicks, show that the top 20% of all keywords attract on average 98.16% of all searches and generate 97.21% of all clicks. The use of the top 100 keywords in each campaign attracts on average 88.57% of all searches and 81.40% of all clicks. These results are fairly stable across a varying total number of keywords in use and suggest that the success of search engine marketing is driven by relatively few keywords. However, we also show that the set of the top 100 keywords changes over time. Hence, advertisers need to concentrate on finding the top 100 keywords, but they do not need to bother too much about the performance of keywords in the long tail.;keyword selection
Using a two-stage technique to design a keyword suggestion system;http://informationr.net/ir/15-1/paper425.html;"Introduction. The study of keyword suggestion in the field of search engine marketing is an important issue for paid search advertising or sponsored advertisements. The challenge of this issue is not only to suggest the relevant keywords, but also to find more such keywords.
Method. In this paper, we propose a system, the main goal of which is not only to suggest a list of relevant keywords, but also to determine the degree of similarity between the user's query and each suggested keyword.
Analysis. Three experiments were performed to illustrate the performance comparison between different systems and the relevant parameters considered in our system.
Results. According to the results of the first experiment, our system was found to be better than other online systems. According to the results of the second experiment, we concluded that the performance of the latent semantic analysis probability model is better than the random probability model. According to the results of the third experiment, we verified that the termination criteria of our system could yield a cost effective solution within a controlled period of time.
Conclusions. In this paper, we make several contributions. First, we propose an intelligent system that is based on several semantic analysis methods. Second, we define a new performance metric to compare the results of different systems. Third, we design a combined technique to find a cost effective solution within controlled period of time.";keyword selection
Analyzing the Relationship Between Organic and Sponsored Search Advertising: Positive, Negative, or Zero Interdependence?;https://doi.org/10.1287/mksc.1090.0552;The phenomenon of paid search advertising has now become the most predominant form of online advertising in the marketing world. However, we have little understanding of the impact of search engine advertising on consumers' responses in the presence of organic listings of the same firms. In this paper, we model and estimate the interrelationship between organic search listings and paid search advertisements. We use a unique panel data set based on aggregate consumer response to several hundred keywords over a three-month period collected from a major nationwide retailer store chain that advertises on Google. In particular, we focus on understanding whether the presence of organic listings on a search engine is associated with a positive, a negative, or no effect on the click-through rates of paid search advertisements, and vice versa for a given firm. We first build an integrated model to estimate the relationship between different metrics such as search volume, click-through rates, conversion rates, cost per click, and keyword ranks. A hierarchical Bayesian modeling framework is used and the model is estimated using Markov chain Monte Carlo methods. Our empirical findings suggest that click-throughs on organic listings have a positive interdependence with click-throughs on paid listings, and vice versa. We also find that this positive interdependence is asymmetric such that the impact of organic clicks on increases in utility from paid clicks is 3.5 times stronger than the impact of paid clicks on increases in utility from organic clicks. Using counterfactual experiments, we show that on an average this positive interdependence leads to an increase in expected profits for the firm ranging from 4.2% to 6.15% when compared to profits in the absence of this interdependence. To further validate our empirical results, we also conduct and present the results from a controlled field experiment. This experiment shows that total click-through rates, conversions rates, and revenues in the presence of both paid and organic search listings are significantly higher than those in the absence of paid search advertisements. The results predicted by the econometric model are also corroborated in this field experiment, which suggests a causal interpretation to the positive interdependence between paid and organic search listings. Given the increased spending on search engine-based advertising, our analysis provides critical insights to managers in both traditional and Internet firms.;search engine result page analysis
What Users See - Structures in Search Engine Results Pages;https://doi.org/10.48550/arXiv.1511.05802;This paper investigates the composition of search engine results pages. We define what elements the most popular web search engines use on their results pages (e.g., organic results, advertisements, shortcuts) and to which degree they are used for popular vs. rare queries. Therefore, we send 500 queries of both types to the major search engines Google, Yahoo, this http URL and Ask. We count how often the different elements are used by the individual engines. In total, our study is based on 42,758 elements. Findings include that search engines use quite different approaches to results pages composition and therefore, the user gets to see quite different results sets depending on the search engine and search query used. Organic results still play the major role in the results pages, but different shortcuts are of some importance, too. Regarding the frequency of certain host within the results sets, we find that all search engines show Wikipedia results quite often, while other hosts shown depend on the search engine used. Both Google and Yahoo prefer results from their own offerings (such as YouTube or Yahoo Answers). Since we used the .com interfaces of the search engines, results may not be valid for other country-specific interfaces.;search engine result page analysis
